"school","sex","age","famsize","Pstatus","reason","nursery","internet","guardian","traveltime","studytime","schoolsup","famsup","paid","activities","romantic","famrel","freetime","goout","health","absences","G3","MplusFedu","parent_health_teacher"
"GP","F",15,"GT3","T","home","yes","yes","mother",2,4,"yes","yes","yes","yes","no",3,1,2,1,2,10,"2",0
"GP","F",15,"GT3","T","reputation","no","yes","mother",1,2,"yes","yes","no","no","yes",3,3,4,5,2,5,"2",0
"GP","F",15,"GT3","T","reputation","yes","no","mother",1,1,"yes","yes","yes","yes","no",4,3,1,2,8,13,"4",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,3,"yes","yes","yes","yes","no",4,3,2,5,2,8,"6",1
"GP","F",15,"GT3","T","reputation","yes","yes","other",2,3,"no","yes","yes","yes","yes",4,2,1,3,8,10,"6",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,3,"yes","yes","yes","yes","no",4,3,2,5,2,11,"7",1
"GP","F",15,"GT3","T","course","yes","yes","father",2,3,"no","yes","no","no","yes",4,2,2,5,0,0,"7",1
"GP","F",15,"LE3","T","reputation","yes","yes","mother",2,2,"yes","yes","yes","no","no",4,1,3,4,2,8,"4",1
"GP","F",15,"LE3","T","reputation","no","yes","father",2,4,"no","yes","no","no","no",4,4,2,3,12,16,"4",0
"GP","F",15,"GT3","A","reputation","yes","no","father",1,4,"yes","no","no","no","no",4,3,3,4,10,11,"6",1
"GP","F",15,"GT3","A","reputation","yes","yes","mother",1,2,"no","yes","yes","yes","no",4,3,2,1,0,15,"7",0
"GP","F",15,"GT3","T","course","no","yes","mother",3,1,"no","yes","no","yes","yes",4,3,3,4,0,0,"2",0
"GP","F",15,"GT3","T","home","no","yes","father",1,2,"no","yes","no","yes","no",4,3,2,4,2,10,"2",0
"GP","F",15,"GT3","T","course","yes","yes","father",1,2,"no","yes","yes","no","no",4,4,2,5,0,11,"2",0
"GP","F",15,"GT3","T","course","no","yes","mother",1,2,"no","yes","yes","no","no",4,3,2,5,2,11,"3",0
"GP","F",15,"GT3","T","course","no","yes","mother",1,2,"no","no","no","no","no",3,2,3,1,2,15,"3",0
"GP","F",15,"GT3","T","reputation","yes","yes","father",3,3,"no","yes","no","yes","no",5,2,2,4,4,12,"3",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,4,"yes","yes","yes","no","no",5,1,2,3,8,8,"4",0
"GP","F",15,"GT3","T","other","yes","no","father",2,1,"no","yes","no","yes","no",3,5,1,5,0,6,"5",0
"GP","F",15,"GT3","T","home","yes","yes","father",1,2,"no","yes","no","no","no",3,3,2,3,0,0,"5",1
"GP","F",15,"GT3","T","home","yes","yes","mother",2,2,"yes","yes","yes","no","no",4,3,5,2,26,6,"5",0
"GP","F",15,"GT3","T","home","yes","yes","mother",1,3,"no","yes","yes","yes","yes",3,2,2,5,2,15,"6",1
"GP","F",15,"GT3","T","reputation","yes","yes","mother",1,3,"no","yes","no","yes","no",5,3,3,1,4,14,"6",0
"GP","F",15,"GT3","T","reputation","yes","yes","mother",1,1,"no","no","yes","yes","no",4,5,5,1,4,18,"7",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,3,"no","yes","no","yes","yes",4,3,3,5,0,0,"8",0
"GP","F",15,"GT3","T","course","yes","yes","mother",1,1,"yes","yes","yes","no","no",3,3,4,5,0,11,"8",0
"GP","F",15,"GT3","T","reputation","yes","yes","father",2,2,"no","no","yes","no","yes",4,4,4,5,6,8,"8",0
"GP","F",15,"GT3","T","other","no","yes","father",1,2,"yes","yes","no","yes","no",4,4,4,3,2,7,"8",1
"GP","F",15,"GT3","T","reputation","yes","yes","mother",1,2,"no","yes","yes","no","no",3,3,3,2,0,9,"8",1
"GP","F",15,"GT3","T","course","yes","yes","mother",1,3,"no","yes","yes","yes","no",4,2,2,5,2,11,"8",1
"GP","F",15,"GT3","T","course","yes","yes","mother",2,1,"no","no","no","yes","no",4,3,2,5,0,15,"8",1
"GP","F",15,"LE3","A","other","yes","yes","mother",1,1,"no","no","yes","no","no",5,3,4,1,6,13,"6",0
"GP","F",15,"LE3","A","home","yes","yes","mother",1,2,"yes","no","no","yes","yes",5,3,2,1,0,11,"7",0
"GP","F",15,"LE3","A","course","yes","yes","mother",1,2,"yes","yes","yes","yes","yes",5,2,2,5,8,6,"7",0
"GP","F",15,"LE3","T","other","yes","yes","mother",1,2,"yes","no","yes","no","no",4,3,2,3,10,10,"2",0
"GP","F",15,"LE3","T","reputation","yes","yes","mother",1,2,"no","yes","yes","no","no",4,4,4,5,10,6,"5",0
"GP","F",15,"LE3","T","other","yes","yes","mother",1,2,"no","yes","yes","no","no",4,3,3,5,2,13,"6",1
"GP","F",15,"LE3","T","reputation","yes","yes","father",1,2,"yes","no","no","yes","yes",4,4,4,2,0,10,"7",0
"GP","F",16,"GT3","T","reputation","no","yes","mother",2,4,"no","yes","yes","yes","no",5,3,5,5,6,11,"4",0
"GP","F",16,"GT3","T","reputation","yes","yes","father",1,3,"yes","yes","no","yes","no",4,1,2,2,0,10,"6",0
"GP","F",16,"GT3","T","other","yes","no","mother",1,2,"no","yes","no","yes","no",2,4,4,4,6,11,"8",1
"GP","F",16,"GT3","A","other","yes","yes","mother",1,2,"no","no","yes","yes","yes",5,3,4,2,8,10,"3",0
"GP","F",16,"GT3","A","reputation","yes","yes","mother",1,2,"yes","yes","yes","no","no",3,3,4,4,0,14,"4",0
"GP","F",16,"GT3","A","course","yes","yes","mother",1,2,"no","yes","yes","no","no",2,3,3,4,5,7,"4",0
"GP","F",16,"GT3","A","course","no","yes","other",2,1,"no","yes","no","yes","yes",4,3,2,5,0,0,"6",0
"GP","F",16,"GT3","A","course","yes","yes","father",1,1,"no","no","no","no","no",3,2,1,5,16,11,"7",0
"GP","F",16,"GT3","T","home","yes","no","mother",2,1,"no","yes","yes","no","no",4,3,2,5,6,10,"2",0
"GP","F",16,"GT3","T","course","no","yes","father",4,1,"yes","yes","no","yes","yes",5,5,5,5,6,11,"2",0
"GP","F",16,"GT3","T","home","no","yes","mother",1,2,"no","no","no","yes","yes",4,3,5,3,0,0,"4",0
"GP","F",16,"GT3","T","course","yes","no","mother",1,2,"no","yes","yes","no","yes",4,3,5,5,2,10,"3",0
"GP","F",16,"GT3","T","home","yes","yes","mother",1,1,"no","no","no","no","yes",4,5,2,5,20,12,"3",0
"GP","F",16,"GT3","T","home","yes","yes","mother",1,2,"yes","no","no","yes","no",3,1,2,5,6,13,"4",0
"GP","F",16,"GT3","T","home","no","yes","mother",1,2,"no","yes","yes","no","no",5,1,5,4,0,0,"4",0
"GP","F",16,"GT3","T","home","yes","yes","mother",1,2,"no","no","yes","no","yes",5,4,4,5,0,8,"4",0
"GP","F",16,"GT3","T","reputation","yes","yes","mother",1,4,"no","no","yes","no","yes",5,2,3,3,0,11,"4",0
"GP","F",16,"GT3","T","reputation","no","yes","mother",2,2,"no","no","yes","yes","no",3,4,4,5,2,11,"4",0
"GP","F",16,"GT3","T","home","no","yes","mother",1,1,"no","yes","yes","no","no",1,2,2,5,14,8,"4",0
"GP","F",16,"GT3","T","reputation","yes","no","mother",1,2,"yes","yes","yes","yes","no",4,4,3,4,6,10,"5",0
"GP","F",16,"GT3","T","course","yes","yes","mother",1,2,"no","no","no","no","no",4,3,3,2,10,13,"5",0
"GP","F",16,"GT3","T","other","yes","yes","mother",1,2,"yes","no","no","no","no",2,3,1,3,2,17,"5",1
"GP","F",16,"GT3","T","course","yes","yes","mother",1,4,"yes","yes","yes","no","no",4,3,3,5,4,6,"4",0
"GP","F",16,"GT3","T","reputation","yes","yes","mother",1,2,"no","yes","yes","no","no",1,2,2,1,14,12,"5",0
"GP","F",16,"GT3","T","home","yes","no","father",1,2,"no","yes","yes","no","no",4,3,2,5,4,10,"6",0
"GP","F",16,"GT3","T","home","yes","yes","mother",1,3,"no","yes","yes","no","yes",4,3,3,4,0,8,"6",0
"GP","F",16,"GT3","T","reputation","yes","no","mother",3,2,"yes","yes","no","yes","no",5,3,2,4,4,10,"6",0
"GP","F",16,"GT3","T","home","yes","yes","mother",1,2,"yes","yes","yes","yes","no",4,3,3,5,54,11,"6",0
"GP","F",16,"GT3","T","course","yes","yes","mother",1,2,"no","yes","no","no","no",2,4,3,3,12,5,"7",0
"GP","F",16,"GT3","T","home","yes","yes","father",1,2,"no","no","yes","no","yes",4,2,3,3,0,16,"6",1
"GP","F",16,"GT3","T","course","yes","yes","mother",1,2,"no","yes","no","no","no",4,2,3,5,2,16,"6",0
"GP","F",16,"GT3","T","home","yes","yes","mother",2,2,"no","yes","yes","yes","no",5,3,3,1,0,10,"6",1
"GP","F",16,"GT3","T","home","yes","yes","mother",1,2,"no","yes","no","yes","no",4,3,5,2,2,16,"7",1
"GP","F",16,"GT3","T","course","yes","yes","mother",1,3,"yes","yes","yes","no","no",5,3,5,3,0,8,"7",0
"GP","F",16,"GT3","T","home","yes","yes","mother",1,3,"yes","yes","yes","yes","no",3,4,4,4,2,9,"7",1
"GP","F",16,"GT3","T","other","yes","yes","mother",1,2,"no","no","yes","yes","yes",1,3,2,1,10,13,"7",1
"GP","F",16,"GT3","T","reputation","yes","yes","mother",1,2,"no","yes","yes","no","yes",4,4,2,3,0,14,"8",1
"GP","F",16,"GT3","T","home","yes","yes","mother",1,1,"no","yes","no","no","no",4,4,4,2,4,14,"8",1
"GP","F",16,"GT3","T","reputation","no","yes","mother",1,1,"no","no","no","yes","no",5,3,4,1,6,14,"8",0
"GP","F",16,"GT3","T","reputation","yes","yes","mother",1,3,"no","yes","yes","yes","no",3,2,3,2,6,14,"8",0
"GP","F",16,"GT3","T","home","no","yes","mother",1,3,"no","yes","no","yes","no",5,3,2,5,0,14,"8",1
"GP","F",16,"LE3","A","home","yes","yes","mother",1,2,"no","yes","no","no","no",2,3,5,3,12,11,"6",0
"GP","F",16,"LE3","T","course","yes","yes","mother",1,1,"no","no","no","no","no",3,4,4,1,2,13,"2",0
"GP","F",16,"LE3","T","reputation","yes","yes","father",1,2,"yes","no","no","yes","no",4,4,3,1,4,9,"3",0
"GP","F",16,"LE3","T","course","yes","no","mother",1,2,"no","yes","no","no","no",4,3,4,2,4,6,"4",0
"GP","F",16,"LE3","T","course","yes","yes","father",2,2,"yes","no","no","yes","no",4,3,3,5,14,9,"4",0
"GP","F",16,"LE3","T","home","no","yes","mother",2,2,"no","yes","no","yes","yes",3,3,3,3,25,11,"4",0
"GP","F",16,"LE3","T","course","yes","yes","mother",3,2,"no","yes","yes","no","no",4,3,3,4,2,13,"4",0
"GP","F",16,"LE3","T","course","yes","yes","father",2,2,"no","yes","yes","yes","yes",4,2,2,5,2,13,"6",1
"GP","F",16,"LE3","T","home","yes","no","father",1,2,"yes","yes","no","no","no",3,3,3,2,4,6,"4",0
"GP","F",16,"LE3","T","reputation","yes","yes","mother",2,2,"no","yes","yes","yes","no",4,4,5,4,4,9,"6",0
"GP","F",16,"LE3","T","course","yes","yes","mother",3,2,"no","yes","no","yes","no",5,4,3,1,2,15,"7",1
"GP","F",16,"LE3","T","other","yes","yes","mother",1,3,"no","yes","yes","yes","yes",5,4,5,4,4,16,"8",1
"GP","F",16,"LE3","T","reputation","yes","yes","mother",1,2,"no","yes","yes","no","no",4,5,2,3,0,10,"8",1
"GP","F",17,"GT3","A","home","yes","yes","mother",1,2,"no","yes","yes","no","no",4,3,3,2,4,10,"5",0
"GP","F",17,"GT3","T","course","yes","no","mother",3,2,"no","no","no","yes","no",2,1,1,3,2,11,"3",0
"GP","F",17,"GT3","T","reputation","yes","yes","mother",2,2,"no","yes","no","yes","no",4,2,5,5,2,6,"3",0
"GP","F",17,"GT3","T","reputation","yes","yes","mother",1,1,"no","yes","no","no","no",5,3,2,3,18,6,"4",0
"GP","F",17,"GT3","T","course","yes","yes","father",1,3,"no","yes","no","no","yes",4,4,3,5,7,14,"6",0
"GP","F",17,"GT3","T","course","no","yes","father",1,3,"no","yes","yes","yes","no",4,3,4,5,0,10,"7",0
"GP","F",17,"GT3","T","reputation","yes","yes","mother",2,3,"no","yes","yes","yes","yes",4,4,2,4,6,7,"7",1
"GP","F",17,"LE3","T","course","yes","yes","mother",1,3,"no","yes","yes","yes","no",3,3,2,3,3,11,"4",0
"GP","F",17,"LE3","T","reputation","yes","no","mother",2,4,"no","yes","yes","no","no",3,1,2,3,6,18,"4",0
"GP","F",17,"LE3","T","other","yes","no","mother",1,1,"no","yes","yes","no","no",5,2,1,3,12,10,"8",0
"GP","F",17,"GT3","A","course","yes","yes","mother",2,3,"no","no","no","yes","yes",3,2,3,3,10,12,"3",0
"GP","F",17,"GT3","A","home","yes","yes","father",1,2,"no","yes","no","no","yes",3,3,1,4,0,0,"4",0
"GP","F",17,"GT3","A","reputation","no","yes","mother",1,2,"no","yes","no","no","yes",3,3,3,3,6,9,"6",1
"GP","F",17,"GT3","A","course","yes","yes","mother",1,2,"no","yes","yes","no","yes",5,2,2,5,23,13,"7",0
"GP","F",17,"GT3","A","home","yes","no","mother",2,2,"yes","yes","no","no","no",4,1,4,1,6,6,"8",1
"GP","F",17,"GT3","T","course","no","yes","father",1,2,"no","yes","no","no","no",5,3,3,3,4,6,"2",0
"GP","F",17,"GT3","T","reputation","yes","no","mother",1,3,"no","yes","no","yes","yes",4,3,4,5,0,0,"2",0
"GP","F",17,"GT3","T","course","yes","yes","mother",1,2,"no","no","no","yes","no",5,3,3,3,0,9,"2",0
"GP","F",17,"GT3","T","course","no","no","mother",1,2,"no","yes","yes","no","no",4,4,4,1,4,10,"2",0
"GP","F",17,"GT3","T","reputation","yes","yes","mother",1,3,"no","yes","yes","no","no",4,3,3,3,6,12,"2",1
"GP","F",17,"GT3","T","course","yes","yes","mother",1,3,"no","yes","yes","yes","no",4,3,3,4,4,10,"4",0
"GP","F",17,"GT3","T","course","no","yes","mother",1,2,"no","yes","no","no","no",5,4,5,5,4,11,"4",0
"GP","F",17,"GT3","T","course","yes","no","mother",1,2,"no","yes","no","no","yes",4,2,2,3,12,9,"4",0
"GP","F",17,"GT3","T","home","yes","no","father",2,1,"no","yes","yes","no","no",3,3,3,3,3,8,"5",0
"GP","F",17,"GT3","T","reputation","yes","yes","mother",2,2,"no","yes","yes","no","yes",4,3,3,1,2,10,"6",1
"GP","F",17,"GT3","T","reputation","yes","no","father",1,2,"no","yes","no","yes","no",5,4,2,5,0,17,"6",0
"GP","F",17,"GT3","T","course","no","yes","father",1,3,"no","yes","no","no","no",3,4,3,5,1,15,"4",0
"GP","F",17,"GT3","T","reputation","no","yes","father",1,4,"no","yes","yes","yes","no",5,2,2,5,0,18,"5",1
"GP","F",17,"GT3","T","course","no","yes","mother",1,2,"no","no","no","yes","no",5,3,4,3,10,15,"5",0
"GP","F",17,"GT3","T","home","yes","yes","mother",1,2,"no","yes","yes","no","yes",4,3,2,2,0,0,"5",0
"GP","F",17,"GT3","T","home","no","no","mother",1,3,"no","no","no","yes","no",3,2,3,4,4,9,"6",0
"GP","F",17,"GT3","T","home","yes","yes","mother",1,3,"no","yes","yes","no","yes",4,4,3,5,28,9,"7",0
"GP","F",17,"GT3","T","course","yes","yes","mother",1,3,"no","no","no","no","no",4,4,5,5,16,15,"7",0
"GP","F",17,"GT3","T","reputation","yes","yes","mother",2,3,"no","yes","yes","no","no",4,3,3,3,0,14,"6",0
"GP","F",17,"GT3","T","reputation","yes","yes","mother",1,3,"no","yes","yes","yes","yes",4,4,3,4,0,15,"7",1
"GP","F",17,"GT3","T","reputation","yes","yes","mother",1,3,"no","yes","yes","no","no",4,2,2,3,0,15,"7",1
"GP","F",17,"GT3","T","reputation","yes","yes","mother",1,2,"no","no","yes","no","yes",3,4,5,1,22,4,"7",0
"GP","F",17,"GT3","T","course","yes","no","mother",1,1,"yes","yes","no","no","yes",4,2,1,4,0,12,"8",1
"GP","F",17,"GT3","T","home","yes","yes","mother",2,1,"no","yes","no","no","no",4,2,4,2,24,18,"8",1
"GP","F",17,"GT3","T","course","yes","yes","mother",1,3,"no","yes","yes","yes","no",5,4,4,4,7,9,"8",1
"GP","F",17,"GT3","T","course","yes","yes","mother",1,3,"no","yes","yes","yes","no",5,4,4,4,7,9,"8",1
"GP","F",17,"GT3","T","course","no","yes","mother",2,3,"no","yes","yes","no","yes",4,3,3,4,4,14,"8",1
"GP","F",17,"LE3","T","home","yes","yes","father",2,3,"no","no","no","no","no",3,3,3,2,0,15,"2",0
"GP","F",17,"LE3","T","course","yes","yes","father",1,1,"no","yes","no","no","yes",3,4,4,5,12,12,"4",0
"GP","F",17,"LE3","T","course","yes","yes","mother",2,2,"yes","yes","yes","no","yes",4,4,4,5,6,12,"4",0
"GP","F",17,"LE3","T","course","yes","yes","father",1,4,"no","no","yes","yes","yes",3,4,1,2,0,0,"4",0
"GP","F",17,"LE3","T","course","yes","yes","father",1,2,"no","no","no","yes","yes",4,3,2,5,0,15,"6",0
"GP","F",17,"LE3","T","reputation","yes","yes","mother",2,2,"no","no","yes","no","no",4,4,4,1,2,15,"5",0
"GP","F",17,"LE3","T","reputation","yes","yes","mother",1,2,"no","yes","no","yes","yes",5,3,3,1,56,8,"6",0
"GP","F",17,"LE3","T","reputation","yes","yes","mother",1,4,"no","yes","yes","yes","no",4,2,3,4,6,13,"6",1
"GP","F",17,"LE3","T","reputation","yes","yes","father",1,2,"no","no","no","yes","yes",3,2,3,3,14,14,"7",1
"GP","F",18,"GT3","A","home","no","yes","mother",2,2,"no","no","no","no","yes",4,1,1,5,75,9,"5",0
"GP","F",18,"GT3","T","course","no","no","mother",3,1,"no","yes","no","yes","no",5,2,5,4,6,10,"2",0
"GP","F",18,"GT3","T","reputation","yes","yes","mother",2,2,"no","yes","no","no","yes",4,3,5,3,0,0,"3",0
"GP","F",18,"GT3","T","course","yes","no","mother",2,4,"no","no","no","yes","no",4,4,4,4,0,0,"4",0
"GP","F",18,"GT3","T","reputation","yes","yes","mother",1,2,"no","no","no","yes","yes",5,3,3,4,16,7,"4",0
"GP","F",18,"GT3","T","reputation","yes","yes","mother",2,2,"no","no","yes","yes","no",4,3,4,4,8,11,"8",1
"GP","F",18,"LE3","T","reputation","yes","no","mother",2,4,"no","yes","yes","yes","no",5,2,2,3,1,12,"2",0
"GP","F",18,"GT3","A","course","yes","no","mother",2,2,"yes","no","no","no","no",4,3,4,3,6,6,"8",1
"GP","F",18,"GT3","T","home","yes","yes","mother",2,2,"yes","no","no","yes","no",5,4,4,4,4,10,"2",0
"GP","F",18,"GT3","T","home","yes","yes","mother",2,2,"yes","no","no","yes","no",5,4,4,4,4,10,"2",0
"GP","F",18,"GT3","T","course","no","yes","other",2,3,"no","yes","yes","no","yes",4,4,4,3,0,0,"3",0
"GP","F",18,"GT3","T","course","yes","yes","mother",2,2,"no","yes","yes","yes","no",5,3,3,1,0,0,"3",0
"GP","F",18,"GT3","T","other","yes","yes","mother",1,3,"no","yes","yes","no","no",4,3,3,2,5,19,"4",0
"GP","F",18,"GT3","T","home","yes","yes","mother",1,3,"no","yes","yes","yes","yes",4,3,3,3,0,0,"4",0
"GP","F",18,"GT3","T","course","yes","yes","mother",1,3,"no","yes","no","no","no",4,3,3,3,4,10,"5",0
"GP","F",18,"GT3","T","reputation","yes","yes","father",1,4,"no","yes","yes","yes","yes",4,5,5,2,4,14,"5",0
"GP","F",18,"GT3","T","other","yes","yes","mother",1,3,"no","no","no","no","yes",5,4,3,1,7,14,"5",0
"GP","F",18,"GT3","T","home","yes","yes","mother",1,2,"no","no","no","yes","no",5,3,4,4,0,0,"6",0
"GP","F",18,"GT3","T","course","yes","yes","mother",1,3,"no","yes","yes","yes","yes",4,3,4,5,9,9,"7",0
"GP","F",18,"GT3","T","reputation","yes","yes","father",1,4,"no","yes","yes","no","no",4,3,3,3,0,14,"7",0
"GP","F",18,"GT3","T","home","yes","yes","father",1,2,"no","yes","yes","no","yes",3,1,2,2,21,18,"7",0
"GP","F",18,"GT3","T","reputation","yes","yes","father",1,2,"yes","yes","no","yes","yes",2,4,4,4,15,8,"8",1
"GP","F",18,"GT3","T","course","yes","yes","mother",1,2,"no","yes","yes","no","no",4,4,4,5,2,11,"8",1
"GP","F",18,"LE3","A","home","yes","yes","mother",1,2,"no","yes","no","no","yes",4,2,4,4,14,11,"8",1
"GP","F",18,"LE3","T","home","no","no","mother",2,2,"no","yes","yes","no","no",4,4,3,3,2,11,"2",0
"GP","F",18,"LE3","T","home","no","yes","other",1,2,"no","no","no","yes","yes",4,3,3,2,0,0,"4",0
"GP","F",18,"LE3","T","home","yes","yes","mother",1,4,"no","yes","no","no","no",5,3,3,1,7,17,"6",0
"GP","F",18,"LE3","T","home","yes","yes","other",2,2,"no","yes","yes","no","yes",4,4,5,2,10,8,"7",0
"GP","F",19,"GT3","T","course","no","no","other",1,2,"no","yes","no","no","no",3,4,2,5,2,9,"1",0
"GP","F",19,"GT3","T","reputation","yes","yes","other",1,4,"no","yes","yes","yes","no",4,3,3,3,10,8,"6",0
"GP","F",19,"GT3","T","home","yes","yes","other",1,2,"no","yes","yes","yes","no",4,3,5,5,15,9,"6",0
"GP","F",19,"GT3","T","reputation","yes","yes","other",2,2,"no","yes","yes","yes","no",2,3,4,2,0,0,"8",1
"GP","M",15,"GT3","T","reputation","yes","yes","mother",1,2,"no","no","no","yes","yes",5,4,2,5,8,9,"3",1
"GP","M",15,"GT3","T","course","yes","no","mother",1,2,"yes","no","yes","yes","no",4,4,4,1,2,8,"5",0
"GP","M",15,"GT3","T","course","yes","no","mother",4,2,"no","yes","no","no","yes",5,3,3,5,0,0,"7",1
"GP","M",15,"GT3","T","course","yes","yes","mother",1,2,"no","yes","no","yes","yes",4,5,2,5,0,16,"7",1
"GP","M",15,"GT3","T","home","yes","yes","father",4,4,"no","yes","yes","yes","yes",1,3,5,1,6,13,"8",0
"GP","M",15,"GT3","A","home","yes","yes","other",1,3,"no","yes","no","no","yes",4,5,2,3,0,16,"4",0
"GP","M",15,"GT3","A","course","yes","yes","mother",1,2,"no","yes","yes","yes","no",5,4,4,1,0,18,"7",0
"GP","M",15,"GT3","A","reputation","no","yes","mother",1,4,"no","yes","no","yes","yes",1,3,3,3,4,12,"8",0
"GP","M",15,"GT3","T","home","yes","yes","mother",1,1,"no","yes","yes","no","no",4,2,2,5,2,11,"4",0
"GP","M",15,"GT3","T","course","yes","yes","father",1,1,"yes","yes","no","no","no",5,4,1,1,0,11,"4",0
"GP","M",15,"GT3","T","home","yes","yes","father",1,4,"no","yes","yes","yes","no",5,5,4,5,6,15,"4",0
"GP","M",15,"GT3","T","home","no","yes","mother",1,3,"yes","no","yes","no","no",5,3,2,5,4,11,"5",0
"GP","M",15,"GT3","T","course","no","yes","father",1,1,"yes","yes","yes","yes","yes",3,2,2,3,2,12,"5",0
